City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Samarai,PG,79.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
4,Kavaratti,IN,81.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
6,Traverse City,US,75.94,clear sky,44.7631,-85.6206,Bayshore Resort
7,Wahiawa,US,88.12,light rain,21.5028,-158.0236,Aloha Wahiawa
11,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Vanino,RU,82.9,overcast clouds,49.0869,140.2543,????????? 5 ?????
24,Limbang,MY,82.71,broken clouds,4.75,115,Purnama Hotel
29,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
30,Dicabisagan,PH,87.57,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
44,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
55,Westport,US,76.19,clear sky,41.1415,-73.3579,The Westport Inn
56,Taybad,IR,79.9,clear sky,34.74,60.7756,?? ??? jean center
58,Butaritari,KI,83.77,light rain,3.0707,172.7902,Isles Sunset Lodge
63,Iwanai,JP,85.93,scattered clouds,42.9744,140.5089,?????????
64,Saint George,US,85.53,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
70,Fukue,JP,79.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
72,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
74,Bourail,NC,81,clear sky,-21.5667,165.4833,Motel Allamanda
80,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
81,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
83,Puerto Cabello,VE,80.91,overcast clouds,10.4731,-68.0125,Hotel Cumboto
85,Atuona,PF,78.4,few clouds,-9.8,-139.0333,Villa Enata
88,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Auki,SB,82.56,broken clouds,-8.7676,160.7034,Auki Motel
93,Aquiraz,BR,81.21,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
94,Honiara,SB,85.46,scattered clouds,-9.4333,159.95,Heritage Park Hotel
95,Tura,IN,76.82,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
99,Kushima,JP,86.04,overcast clouds,31.4583,131.2333,Hanaoka
102,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
103,Nabire,ID,77.45,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
107,Amalapuram,IN,80.98,overcast clouds,16.5833,82.0167,swayamprabha service apartments
111,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
119,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
121,Terra Santa,BR,80.58,broken clouds,-2.1042,-56.4869,Hotel Sarah
123,Hithadhoo,MV,81.59,broken clouds,-0.6,73.0833,Scoop Guest House
124,Nador,MA,86.25,clear sky,35.174,-2.9287,Hôtel La Giralda
128,Harper,LR,75.43,overcast clouds,4.375,-7.7169,Screensaver
135,Sooke,CA,80.58,scattered clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
137,Belogorsk,RU,77.47,clear sky,50.9158,128.4611,Gostinitsa Vostok 2000
146,Lazaro Cardenas,MX,83.1,overcast clouds,17.9583,-102.2,quinta antigua
147,Weinan,CN,80.29,clear sky,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
149,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
150,Robertsport,LR,77.36,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
154,Hibbing,US,81.75,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
158,Tirat Karmel,IL,78.96,scattered clouds,32.7617,34.9719,Marom Hotel Haifa ???? ????
162,Sabang,ID,83.14,overcast clouds,5.8933,95.3214,Hotel Citra
165,Manihari,IN,81.07,broken clouds,25.35,87.6333,Sarfaraz
170,Kahului,US,86.02,light rain,20.8947,-156.47,Maui Seaside Hotel
171,Bandarbeyla,SO,78.84,clear sky,9.4942,50.8122,JABIR HOTEL
172,Wajima,JP,86.68,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
181,Itarema,BR,76.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
186,Amahai,ID,80.02,broken clouds,-3.3333,128.9167,HOTEL ISABELA
189,Dakoro,NE,80.83,scattered clouds,14.5106,6.765,Shagon mai liverpool
192,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
193,Barda,AZ,76.71,clear sky,40.3744,47.1267,Prins Motel Restoran
194,Hasaki,JP,88.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
196,Yamada,JP,81.14,few clouds,39.4667,141.95,Iroha-ya Inn
206,Fairview,US,77.43,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
208,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
220,Da Nang,VN,87.78,scattered clouds,16.0678,108.2208,Sun River Hotel
223,Camargo,MX,84.54,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
234,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
235,Atarra,IN,82.33,clear sky,25.2833,80.5667,Akhand's _Hotel
236,Cornelius,US,82.2,clear sky,35.4868,-80.8601,Hampton Inn Charlotte-North/Lake Norman
238,Faanui,PF,78.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Ariquemes,BR,80.29,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
242,Nan,TH,75.22,few clouds,18.8333,100.6667,???????2
245,Suba,PH,84,broken clouds,10.8438,121.0102,Casita Bed and Grill
