City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
Ribeira Grande,3,PT,clear sky,92,38.5167,-28.7,70.45,8.77
Samarai,98,PG,overcast clouds,83,-10.6167,150.6667,79.95,15.3
Novoagansk,100,RU,overcast clouds,91,61.9449,76.6625,59.32,6.17
Caravelas,2,BR,clear sky,64,-17.7125,-39.2481,69.69,6.4
Kavaratti,89,IN,overcast clouds,78,10.5669,72.642,81.99,20.8
Aklavik,94,CA,overcast clouds,55,68.2191,-135.0107,72.43,12.37
Traverse City,0,US,clear sky,85,44.7631,-85.6206,75.94,5.55
Wahiawa,90,US,light rain,73,21.5028,-158.0236,88.12,14.97
Cerchezu,0,RO,clear sky,75,43.8167,28.1,61.81,3.71
Jamestown,40,US,scattered clouds,87,42.097,-79.2353,72.99,8.99
Mahebourg,40,MU,light rain,78,-20.4081,57.7,70.09,11.5
Hilo,90,US,light rain,78,19.7297,-155.09,80.33,9.22
Castro,0,BR,clear sky,71,-24.7911,-50.0119,52.81,2.46
Rikitea,0,PF,clear sky,55,-23.1203,-134.9692,69.35,0.81
Vanino,100,RU,overcast clouds,62,49.0869,140.2543,82.9,4.9
Anchorage,75,US,shower rain,81,61.2181,-149.9003,65.57,1.99
Ushuaia,20,AR,few clouds,87,-54.8,-68.3,37.06,5.75
Verkhnevilyuysk,20,RU,few clouds,43,63.4453,120.3167,70.47,9.82
Thinadhoo,100,MV,overcast clouds,77,0.5333,72.9333,82.15,10.96
Punta Arenas,75,CL,broken clouds,81,-53.15,-70.9167,39.31,14.97
Khatanga,100,RU,overcast clouds,49,71.9667,102.5,58.66,20.85
Barrow,90,US,moderate rain,81,71.2906,-156.7887,42.82,4.61
Tadine,0,NC,clear sky,69,-21.55,167.8833,77.11,0.6
Broken Hill,25,AU,scattered clouds,76,-31.95,141.4333,47.91,17.27
Limbang,65,MY,broken clouds,75,4.75,115.0,82.71,1.97
Nikolskoye,100,RU,overcast clouds,56,59.7035,30.7861,59.02,4.52
Busselton,100,AU,overcast clouds,67,-33.65,115.3333,57.09,17.38
Bethel,100,US,overcast clouds,74,41.3712,-73.414,74.25,6.13
Sobolevo,0,RU,clear sky,87,54.4299,31.8996,53.2,4.59
Lamu,58,KE,broken clouds,77,-2.2717,40.902,77.22,21.34
Dicabisagan,100,PH,overcast clouds,63,17.0818,122.4157,87.57,4.43
Yellowknife,75,CA,broken clouds,47,62.456,-114.3525,58.32,6.91
Ngara,71,TZ,broken clouds,42,-2.5122,30.6558,59.81,3.13
Port Moresby,40,PG,haze,100,-9.4431,147.1797,72.82,3.44
Pisco,0,PE,clear sky,77,-13.7,-76.2167,62.65,14.97
Lebu,93,CL,overcast clouds,82,-37.6167,-73.65,51.48,22.41
Chokurdakh,84,RU,broken clouds,54,70.6333,147.9167,49.82,13.94
Talnakh,100,RU,moderate rain,91,69.4865,88.3972,49.01,4.92
Atar,95,MR,overcast clouds,23,20.5169,-13.0499,92.14,8.21
Pokrovsk,31,UA,scattered clouds,60,48.282,37.1758,64.72,4.09
Port Alfred,0,ZA,clear sky,52,-33.5906,26.891,53.49,11.03
Havre-Saint-Pierre,1,CA,clear sky,88,50.2334,-63.5986,57.56,3.44
Port-Cartier,100,CA,overcast clouds,93,50.0334,-66.8654,61.75,3.58
Camoapa,100,NI,overcast clouds,88,12.3839,-85.5116,71.94,8.14
Isangel,75,VU,broken clouds,70,-19.55,169.2667,86.11,5.75
Tumbes,100,PE,overcast clouds,84,-3.5667,-80.4414,70.03,7.76
Dikson,82,RU,broken clouds,96,73.5069,80.5464,37.62,12.28
Lasa,64,IT,broken clouds,95,46.6166,10.7002,68.88,3.51
Saint-Philippe,37,RE,scattered clouds,73,-21.3585,55.7679,63.99,6.82
East London,0,ZA,clear sky,62,-33.0153,27.9116,51.87,10.2
Genhe,74,CN,broken clouds,74,50.7833,121.5167,63.91,6.04
Kayseri,0,TR,clear sky,72,38.737,35.4968,57.22,9.22
Mataura,89,NZ,overcast clouds,76,-46.1927,168.8643,49.48,3.98
Amga,61,RU,broken clouds,63,60.8953,131.9608,71.69,8.03
Qaanaaq,100,GL,overcast clouds,66,77.484,-69.3632,40.24,3.13
Westport,1,US,clear sky,75,41.1415,-73.3579,76.19,5.01
Taybad,0,IR,clear sky,15,34.74,60.7756,79.9,10.18
Bangassou,79,CF,light rain,98,4.7413,22.8184,68.22,1.54
Butaritari,20,KI,light rain,73,3.0707,172.7902,83.77,13.29
Aguas Belas,5,BR,clear sky,96,-9.1114,-37.1231,62.11,3.42
Yermolayevo,8,RU,clear sky,75,52.7167,55.8,56.5,5.35
Bukachacha,100,RU,overcast clouds,77,52.9833,116.9167,61.72,6.96
Kruisfontein,21,ZA,few clouds,41,-34.0033,24.7314,46.53,8.88
Iwanai,35,JP,scattered clouds,58,42.9744,140.5089,85.93,3.2
Saint George,20,US,few clouds,55,37.1041,-113.5841,85.53,3.0
Albany,100,US,overcast clouds,68,42.6001,-73.9662,73.67,1.01
Cabo San Lucas,39,MX,scattered clouds,69,22.8909,-109.9124,95.5,14.41
Trofors,40,NO,scattered clouds,95,65.5333,13.4063,52.95,2.13
Mehamn,100,NO,overcast clouds,84,71.0357,27.8492,44.42,22.5
Cape Town,100,ZA,mist,77,-33.9258,18.4232,52.27,2.3
Fukue,75,JP,broken clouds,83,32.6881,128.8419,79.16,8.05
Susehri,31,TR,scattered clouds,87,40.1644,38.0867,55.24,2.95
Vaini,20,TO,few clouds,94,-21.2,-175.2,78.96,5.75
Bluff,100,NZ,overcast clouds,68,-46.6,168.3333,49.8,9.44
Bourail,0,NC,clear sky,44,-21.5667,165.4833,81.0,6.22
Sao Felix Do Xingu,43,BR,scattered clouds,51,-6.6447,-51.995,73.74,1.34
Thompson,75,CA,broken clouds,88,55.7435,-97.8558,62.76,5.75
Slave Lake,1,CA,clear sky,52,55.2834,-114.769,69.78,13.8
Provideniya,100,RU,light rain,98,64.3833,-173.3,47.88,13.33
Carnarvon,100,AU,overcast clouds,62,-24.8667,113.6333,59.07,8.05
Avarua,75,CK,broken clouds,65,-21.2078,-159.775,78.85,6.91
Bathsheba,20,BB,few clouds,89,13.2167,-59.5167,79.41,4.61
Margate,74,GB,broken clouds,88,51.3813,1.3862,64.69,2.42
Puerto Cabello,100,VE,overcast clouds,80,10.4731,-68.0125,80.91,7.94
Ilulissat,90,GL,overcast clouds,87,69.2167,-51.1,42.82,5.75
Atuona,20,PF,few clouds,69,-9.8,-139.0333,78.4,17.2
Codrington,100,AU,light rain,80,-38.2667,141.9667,47.66,18.07
Saskylakh,99,RU,overcast clouds,60,71.9167,114.0833,67.17,4.56
Kapaa,75,US,light rain,80,22.0752,-159.319,84.18,4.0
Bredasdorp,94,ZA,overcast clouds,87,-34.5322,20.0403,40.32,4.61
Mortka,100,RU,overcast clouds,84,59.3322,66.0214,58.86,3.04
Auki,54,SB,broken clouds,75,-8.7676,160.7034,82.56,2.44
Mapiripan,100,CO,overcast clouds,92,2.8892,-72.1256,72.52,4.03
Aquiraz,8,BR,clear sky,70,-3.9014,-38.3911,81.21,7.07
Honiara,40,SB,scattered clouds,70,-9.4333,159.95,85.46,7.61
Tura,98,IN,overcast clouds,94,25.5198,90.2201,76.82,6.04
Arlit,99,NE,overcast clouds,31,18.7369,7.3853,94.5,10.25
Sitka,75,US,light rain,82,57.0531,-135.33,57.09,10.36
Cherskiy,75,RU,broken clouds,56,68.75,161.3,54.99,5.23
Kushima,100,JP,overcast clouds,84,31.4583,131.2333,86.04,12.55
Lavrentiya,100,RU,light rain,98,65.5833,-171.0,44.82,11.14
Xining,100,CN,overcast clouds,88,36.6167,101.7667,64.74,3.0
Maceio,75,BR,broken clouds,78,-9.6658,-35.7353,76.44,5.75
Nabire,100,ID,overcast clouds,86,-3.3667,135.4833,77.45,1.54
Avera,93,US,overcast clouds,58,33.194,-82.5271,84.7,6.38
Belmonte,44,BR,scattered clouds,76,-15.8631,-38.8828,73.9,9.71
Jamame,87,SO,overcast clouds,74,0.0722,42.7506,75.2,16.22
Amalapuram,100,IN,overcast clouds,79,16.5833,82.0167,80.98,7.63
